Group,Timedelta,Scope
All,7,"['2019-07-17', '2019-02-11']"
All,15,"['2019-07-17', '2014-11-08']"
All,month,"[['2019-07', '2012-12']]"
All,year,"[['2019', '2011']]"
Region==徐汇,7,"['2019-07-17', '2019-02-11']"
Region==徐汇,month,"[['2019-07', '2018-12']]"
Region==徐汇,year,"[['2019', '2016']]"
Region==长宁,7,"['2019-07-17', '2019-02-12']"
Region==长宁,15,"['2019-07-17', '2018-04-30']"
Region==长宁,month,"[['2019-07', '2017-09']]"
Region==长宁,year,"[['2019', '2016']]"
Road==南桥,15,"['2019-07-15', '2018-02-26']"
Road==南桥,month,"[['2019-07', '2016-06']]"
Road==南桥,year,"[['2019', '2016']]"
Road==南京西路,month,"[['2019-07', '2014-09']]"
Road==南京西路,year,"[['2019', '2013']]"
